_id,category1,category2,maker,category3,standard,vehicleType,year,mainPrice,privatePrice
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2016 18,200,000 18,200,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2016,"18,200,000","18,200,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2017 19,800,000 19,800,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2017,"19,800,000","19,800,000"
"운반장비 지게차 (주)삼익리프트 (HIC) 포크리프트 3톤 (3T) 삼익하이코3톤지게차 (HI01C) 2018 21,400,000 21,400,000",운반장비,지게차,(주)삼익리프트 (HIC),포크리프트,3톤 (3T),삼익하이코3톤지게차 (HI01C),2018,"21,400,000","21,400,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 1999 2,400,000 2,400,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),1999,"2,400,000","2,400,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2000 2,700,000 2,700,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2000,"2,700,000","2,700,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2001 3,400,000 3,400,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2001,"3,400,000","3,400,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2002 4,200,000 4,200,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2002,"4,200,000","4,200,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2003 5,200,000 5,200,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2003,"5,200,000","5,200,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2004 5,900,000 5,900,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2004,"5,900,000","5,900,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2005 6,700,000 6,700,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2005,"6,700,000","6,700,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2006 7,300,000 7,300,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2006,"7,300,000","7,300,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2007 7,900,000 7,900,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2007,"7,900,000","7,900,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2008 8,600,000 8,600,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2008,"8,600,000","8,600,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2009 9,400,000 9,400,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2009,"9,400,000","9,400,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2010 10,000,000 10,000,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2010,"10,000,000","10,000,000"
"운반장비 지게차 (주)삼호정공 (SGJ) 포크리프트 2.5톤 (2.5T) 삼호2.5톤DF25지게차 (GJ03B) 2011 11,100,000 11,100,000",운반장비,지게차,(주)삼호정공 (SGJ),포크리프트,2.5톤 (2.5T),삼호2.5톤DF25지게차 (GJ03B),2011,"11,100,000","11,100,000"
